Realization1,Realization2,Realization3,Realization4,Realization5,Realization6,Realization7,Realization8,Realization9,Realization10
1645.8,2342.6,1525.5,2675.7,1971.9,2365.3,2282.9,2883.7,2068.7,2052.9
1645.8,2317.4,1565.3,2695.2,1918.9,2337.4,2250.3,2997.9,2048.7,2052.9
1621,2317.4,1604.1,2675.7,1892.9,2309.6,2217.7,2940.8,2018.7,2052.9
1597.3,2317.4,1643.8,2656.1,1892.9,2284.8,2120.5,2940.8,1998.7,2026.2
1572.6,2317.4,1664.7,2656.1,1892.9,2201.3,2024.3,2969.8,1988.7,2026.2
1548.8,2287.2,1664.7,2636.6,1892.9,2146.6,1929.1,2854.7,1978.7,2052.9
1548.8,2232.8,1594.1,2636.6,1865.9,2120.8,1866.2,2826.6,1968.7,2026.2
1548.8,2177.3,1503.7,2617.1,1839.9,2039.3,1803.8,2883.7,1958.7,2026.2
1524.1,2177.3,1548.4,2636.6,1839.9,1959.8,1741.8,2798.5,1958.7,1999.5
1524.1,2232.8,1593.1,2617.1,1839.9,1907.1,1711,2714.3,1938.7,1999.5
1548.8,2260,1655.7,2597.6,1865.9,1907.1,1772.7,2714.3,1938.7,1973.9
1572.6,2260,1717.4,2578,1839.9,1881.3,1741.8,2798.5,1938.7,1973.9
1572.6,2232.8,1765.1,2578,1839.9,1854.5,1772.7,2742.4,1938.7,1947.2
1548.8,2177.3,1802.8,2597.6,1813.9,1828.6,1866.2,2742.4,1938.7,1921.5
1572.6,2151.1,1824.7,2597.6,1588.9,1776.9,1772.7,2714.3,1928.8,1894.9
1694.3,2122.9,1805.8,2578,1441.9,1701.4,1772.7,2686.3,1958.7,1869.2
1669.5,2095.7,1767,2578,1368.9,1652.7,1741.8,2493.7,1928.8,1869.2
1669.5,2095.7,1679.6,2597.6,1343.9,1604,1711,2464.7,1898.8,1842.5
1669.5,2068.5,1545.4,2578,1294.9,1627.9,1711,2464.7,1888.8,1869.2
1669.5,2015,1592.1,2558.5,1294.9,1627.9,1803.8,2464.7,1878.8,1842.5
1669.5,1854.8,1671.6,2539,1197.9,1627.9,1803.8,2438.6,1858.8,1869.2
1694.3,1854.8,1752.1,2499.9,1197.9,1627.9,1741.8,2438.6,1828.8,1869.2
1694.3,1908.2,1817.7,2480.4,1148.9,1604,1772.7,2224.7,1808.8,1894.9
1669.5,1908.2,1843.6,2470.6,1123.9,1579.2,1711,2224.7,1778.9,1894.9
1724.7,1442.3,1679.5,2241.1,1705.8,1848.3,1467.3,1690.8,1921.4,1724.5
1698.9,1614.4,1780.1,2376.5,1781.6,1848.3,1467.3,1715.7,1869.7,1724.5
1674.1,1589.3,1857.7,2376.5,1781.6,1822.1,1442.9,1765.6,1999.3,1724.5
1650.2,1589.3,1910.5,2410.7,1781.6,1901.5,1393,1816.5,2051.9,1669.3
1625.4,1565.3,1937.4,2410.7,1781.6,1901.5,1393,1892.3,2051.9,1587.5
1601.6,1565.3,2016,2444.9,1606.7,2061.2,1367.6,1969,2025.6,1532.3
1576.8,1589.3,2205.2,2513.7,1507.6,2225,1367.6,2047.7,1999.3,1509.7
1576.8,1393.3,2288.8,2376.5,1408.5,2588.6,1417.5,2020.9,1999.3,1515.6
1553,1393.3,2369.5,2274.8,1211.3,2674,1442.9,1969,1973,1574.7
1553,1565.3,2481,2274.8,1285.1,2503.2,1467.3,1867.3,1947.7,1651.6
1553,1540.3,2592.5,2308.6,1112.2,2531.3,1467.3,1740.7,1947.7,1776.7
1553,1565.3,2706,2376.5,1037.4,2674,1467.3,1642.8,1921.4,2135.4
1504.4,1393.3,2821.5,2548.3,1037.4,2615.7,1467.3,1642.8,1921.4,2225.1
1479.6,1589.3,2879.2,2722.5,1037.4,2531.3,1442.9,1642.8,1896,2069.4
1479.6,1614.4,2966.8,2934.9,1013.2,2558.4,1442.9,1841.4,1869.7,2021.1
1479.6,1589.3,2879.2,2652.5,1013.2,2615.7,1417.5,2177.3,1844.4,2028
1455.7,1589.3,2821.5,2722.5,1037.4,2674,1417.5,2177.3,1818.1,2089.1
1479.6,1614.4,2706,2863.7,1037.4,2788.5,1442.9,2256.9,1716.8,2113.7
1479.6,1638.4,2592.5,2792.9,1037.4,2788.5,1442.9,3087.9,1716.8,2075.3
1479.6,1614.4,2453.1,3006.4,1112.2,2759.3,1417.5,2830.7,1767.4,1993.5
1455.7,1614.4,2369.5,3150.6,1211.3,2759.3,1417.5,2543.8,1818.1,1928.5
1479.6,1663.4,2341.6,3259.7,1235.6,2759.3,1467.3,3499.5,1792.8,1955.1
1528.2,1893.4,2259,3296.2,1285.1,2788.5,1517.2,4051.3,1767.4,1982.7
1601.6,1866.4,2232.1,3554.5,1309.4,2963.3,1567,3804.7,1767.4,1995.5
1625.4,1840.4,2288.8,3591.7,1186.1,2993.4,1592.5,4144.4,1767.4,1973.8
1601.6,2106.5,2259,3591.7,1112.2,2963.3,2034.1,4368.9,1767.4,1939.3
1576.8,2352.5,2232.1,3554.5,1112.2,2905,2507.3,5676.8,1818.1,1932.4
1601.6,2380.5,2259,3480.2,1235.6,2788.5,2421.8,5153.8,1896,1928.5
1650.2,2632.6,2313.7,3666.4,1408.5,2674,2339.4,4745.1,1947.7,1930.5
1650.2,2863.6,2369.5,3816.8,1532.9,2558.4,2364.8,4336.3,2025.6,1859.5
2470,1910.9,2705.4,879.91,2520.4,2405.8,2769.8,2151.4,1190.8,1580.6
2470,1990.6,2744.7,855.89,2520.4,2503.2,2829.2,2151.4,1216.2,1755.3
2470,2235.9,2794.5,1003,2520.4,2503.2,2809.4,2192,1216.2,1965.4
2498.4,2402.5,2808,1296.3,2520.4,2568.6,2789.6,2263,1216.2,2181.5
2470,2571,2806.5,1517.6,2492.1,2700.5,2809.4,2293.5,1266,2181.5
2470,2715.4,3174.7,1688.7,2576.1,3070.2,2789.6,2405.1,1314.7,2237
2470,2687.1,3517.2,2001.1,2606.4,3207.2,2769.8,2445.7,1314.7,2237
2555.2,2628.6,3921.6,2162.2,2662,3449.9,2829.2,2912.5,1364.4,2321.9
